text,label
Is the table new or old?,0
Where do you see the cat?,1
Do you like the bicycle?,0
What is the position of the lamp in relation to the other object?,1
Where would you say the bag is placed?,1
"Looking at the scene, where is the man?",1
Where would you say the car is placed?,1
Is the mirror broken?,0
Is the table new or old?,0
What color is the mirror?,0
What is the position of the table in relation to the other object?,1
Is the cat turned on?,0
Does the dog make a sound?,0
"If someone asked you where the lamp is, what would you say?",1
Is the book broken?,0
What color is the cat?,0
Where would you say the phone is placed?,1
What is the spatial relationship between the lamp and another object?,1
Which side of the reference object is the table on?,1
How many mirrors are there?,0
Is the bus interesting to you?,0
How would you explain where the table is to someone else?,1
Which side of the reference object is the cat on?,1
Where would you say the lamp is placed?,1
Where would you say the book is placed?,1
Is the man made of plastic?,0
Where is the phone located with respect to the reference object?,1
Who is using the clock?,0
What is the function of the dog?,0
How would you explain where the tree is to someone else?,1
Is someone holding the bus?,0
"Looking at the scene, where is the bottle?",1
Is the bus new or old?,0
Is the bag made of plastic?,0
What is the function of the bus?,0
Where does the chair appear to be?,1
What is the child made of?,0
Can you point out where the woman is compared to something else?,1
Where is the lamp in relation to the other object?,1
Is the cat turned on?,0
Is this car heavy?,0
How many childs are there?,0
Where does the man appear to be?,1
Where do you see the tree?,1
Is the bus turned on?,0
Is the mirror made of plastic?,0
How would you explain where the book is to someone else?,1
What is the spatial relationship between the phone and another object?,1
Is the car new or old?,0
Does the table make a sound?,0
How would you describe the position of the lamp compared to something else?,1
What is the function of the clock?,0
What is the location of the bus relative to another item?,1
Where does the computer appear to be?,1
What is the location of the lamp relative to another item?,1
What color is the bottle?,0
What is the spatial relationship between the bag and another object?,1
Where would you say the child is placed?,1
What is the spatial relationship between the bottle and another object?,1
Who is using the cat?,0
What is the position of the dog in relation to the other object?,1
Where does the dog appear to be?,1
Where is the table located with respect to the reference object?,1
Is someone holding the bicycle?,0
Which side of the reference object is the dog on?,1
What is the function of the lamp?,0
"Looking at the scene, where is the chair?",1
What is the function of the book?,0
What category does the mirror belong to?,0
Is the computer new or old?,0
Does the bus make a sound?,0
What is the car made of?,0
How many chairs are there?,0
Is the man interesting to you?,0
Where would you say the phone is placed?,1
What kind of shape does the phone have?,0
Is the clock turned on?,0
How is the bag positioned?,1
What is the location of the chair relative to another item?,1
"Looking at the scene, where is the man?",1
Which side of the reference object is the lamp on?,1
Is the table made of plastic?,0
Is someone holding the man?,0
How would you explain where the computer is to someone else?,1
Where does the cat appear to be?,1
Is the mirror made of plastic?,0
Is the ball soft or hard?,0
Is the book broken?,0
What color is the child?,0
Is someone holding the bicycle?,0
What is the spatial relationship between the man and another object?,1
How many phones are there?,0
How is the bus positioned?,1
Where would you say the chair is placed?,1
How is the clock positioned?,1
What is the position of the clock in relation to the other object?,1
Where does the woman appear to be?,1
How would you explain where the bus is to someone else?,1
What is the child made of?,0
Is the bicycle new or old?,0
Where do you see the man?,1
Does the man make a sound?,0
Can you describe how the book looks?,0
Where is the phone located with respect to the reference object?,1
"If someone asked you where the phone is, what would you say?",1
What is the position of the computer in relation to the other object?,1
Do you like the phone?,0
How would you describe the position of the lamp compared to something else?,1
Is someone holding the woman?,0
What category does the ball belong to?,0
What is the position of the ball in relation to the other object?,1
Is someone holding the bicycle?,0
Is someone holding the dog?,0
How would you explain where the ball is to someone else?,1
Is someone holding the car?,0
How would you explain where the bus is to someone else?,1
What category does the tree belong to?,0
Tell me how the cat and the other object are arranged.,1
What is the bottle made of?,0
What is the location of the ball relative to another item?,1
How would you explain where the lamp is to someone else?,1
"If someone asked you where the man is, what would you say?",1
Where do you see the chair?,1
What is the function of the chair?,0
"If someone asked you where the dog is, what would you say?",1
Is someone holding the table?,0
Is this mirror heavy?,0
What is the function of the bicycle?,0
What is the position of the mirror in relation to the other object?,1
What kind of shape does the bag have?,0
Tell me how the child and the other object are arranged.,1
How would you describe the position of the mirror compared to something else?,1
Does the mirror make a sound?,0
Can you describe where the computer is?,1
Can you describe where the lamp is?,1
Tell me how the car and the other object are arranged.,1
What color is the chair?,0
Where is the lamp located with respect to the reference object?,1
Which side of the reference object is the bicycle on?,1
Is the child broken?,0
Tell me how the man and the other object are arranged.,1
Tell me how the bus and the other object are arranged.,1
What is the function of the mirror?,0
Where would you say the lamp is placed?,1
"Looking at the scene, where is the book?",1
Is the bicycle new or old?,0
How would you describe the position of the bottle compared to something else?,1
Is the ball new or old?,0
What is the spatial relationship between the table and another object?,1
Is the book new or old?,0
Is the table turned on?,0
Is the phone broken?,0
Who is using the bag?,0
How would you describe the position of the lamp compared to something else?,1
Can you describe how the lamp looks?,0
Is someone holding the mirror?,0
What color is the child?,0
Where is the woman in relation to the other object?,1
Is the lamp interesting to you?,0
Can you point out where the tree is compared to something else?,1
