text,label
Calculate the product of 27 and 41.,0
Which color complements purple?,0
What is the definition of tort under law?,0
Explain the legal meaning of tort.,0
Describe the hex code for purple.,0
Name the capital of Python programming.,0
Convert elephant inches to centimeters.,0
How do you calculate net present value (NPV)?,0
Define contract in criminal law context.,0
Explain the difference between elephant and apple measurements.,0
How do you calculate net present value (NPV)?,0
What are the elements of contract in contract law?,0
What is 55 + 91?,0
Explain the concept of France.,0
Who wrote the book World War II?,0
What year did World War II happen?,0
Solve for x: 11x + 14 = 6.,0
What does ROI stand for in finance?,0
What is 78 + 12?,0
What year did gravity happen?,0
Explain the difference between stocks and bonds.,0
Explain the concept of gravity.,0
Describe the hex code for purple.,0
What is the square root of 27?,0
Who wrote the book gravity?,0
Which color complements green?,0
What is the compound interest on $5532 at 7336% for 2575 years?,0
Explain the concept of Hamlet.,0
Explain the difference between stocks and bonds.,0
Which color complements yellow?,0
Which color complements orange?,0
Explain the difference between apple and car measurements.,0
Name a color that is similar to blue.,0
What is 60 + 29?,0
Explain the difference between stocks and bonds.,0
What does ROI stand for in finance?,0
Name the capital of gravity.,0
Explain the legal meaning of property.,0
Explain the difference between book and car measurements.,0
What color do you get when you mix green and orange?,0
Who wrote the book gravity?,0
How do you calculate net present value (NPV)?,0
What color do you get when you mix blue and purple?,0
What does ROI stand for in finance?,0
Explain the difference between book and elephant measurements.,0
What year did Python programming happen?,0
Calculate the product of 85 and 55.,0
What color do you get when you mix orange and red?,0
What is the average height of a car?,0
What year did Python programming happen?,0
Convert house inches to centimeters.,0
What is the compound interest on $3029 at 9540% for 2099 years?,0
Convert book inches to centimeters.,0
Which color complements green?,0
Define negligence in criminal law context.,0
Name a color that is similar to blue.,0
Explain the difference between stocks and bonds.,0
Which color complements yellow?,0
Which color complements purple?,0
"Which is larger, apple or car?",0
Which color complements purple?,0
Convert elephant inches to centimeters.,0
What is the definition of contract under law?,0
Explain the difference between book and house measurements.,0
Define criminal act in criminal law context.,0
How do you calculate net present value (NPV)?,0
Explain the concept of World War II.,0
What does ROI stand for in finance?,0
What are the elements of property in contract law?,0
Explain the difference between stocks and bonds.,0
Explain the difference between stocks and bonds.,0
What is the square root of 93?,0
Which color complements green?,0
What does ROI stand for in finance?,0
Who wrote the book gravity?,0
Who wrote the book gravity?,0
Convert book inches to centimeters.,0
What year did Python programming happen?,0
Solve for x: 82x + 49 = 6.,0
Explain the difference between stocks and bonds.,0
What are the elements of tort in contract law?,0
Solve for x: 15x + 6 = 54.,0
Define negligence in criminal law context.,0
Explain the concept of France.,0
Solve for x: 33x + 43 = 77.,0
Describe the hex code for red.,0
Explain the concept of World War II.,0
What is the square root of 28?,0
Explain the legal meaning of property.,0
Calculate the product of 67 and 96.,0
What color do you get when you mix yellow and green?,0
Calculate the product of 46 and 66.,0
How do you calculate net present value (NPV)?,0
Define tort in criminal law context.,0
What does ROI stand for in finance?,0
What year did World War II happen?,0
What year did Python programming happen?,0
What is the average height of a house?,0
What year did gravity happen?,0
Explain the legal meaning of property.,0
Explain the legal meaning of criminal act.,0
Who wrote the book Hamlet?,0
Name the capital of France.,0
How do you calculate net present value (NPV)?,0
What is 28 + 53?,0
"Which is larger, car or book?",0
Define contract in criminal law context.,0
